GHCN_ID,LATITUDE,LONGITUDE,ELEVATION,STATE,NAME,GSN,(US)HCN_(US)CRN,WMO_ID,ICAO,ISO_CODE
USC00164030,30.503,-90.3772,10.7,LA,HAMMOND 5 E,,,,,US
USW00003908,30.5208,-90.4175,13.4,LA,HAMMOND MUNI AP,,,,KHDC,US
USI0000KH08,28.4667,-93.7333,30.0,LA,HIGH ISLAND 264C,,,,KH08,US
USW00012927,29.5664,-90.6603,4.0,LA,HOUMA TERREBONNE AP,,,,KHUM,US
USI0000K7R4,29.7667,-92.1167,5.0,LA,INTRACOASTAL CITY,,,,K7R4,US
USC00164696,31.6782,-92.1288,43.6,LA,JENA,,,,,US
USC00164700,30.2002,-92.6641,7.6,LA,JENNINGS,,,,,US
USW00000381,30.2431,-92.673,7.0,LA,JENNINGS AP,,,,K3R7,US
USC00164739,31.4825,-91.8627,21.3,LA,JONESVILLE LOCKS,,,,,US
USC00165021,30.2191,-92.065,7.6,LA,LAFAYETTE,,,,,US
USW00053960,30.0917,-91.8731,10.7,LA,LAFAYETTE 13 SE,,,,,US
USW00013976,30.1986,-91.9894,10.7,LA,LAFAYETTE RGNL AP,,,,KLFT,US
USL000LCLL1,30.2167,-93.2167,8.1,LA,LAKE CHARLES,,,,,US
USW00003937,30.1253,-93.2158,41.8,LA,LAKE CHARLES,,,72240.0,KLCH,US
USL000BKTL1,30.194,-93.296,3.0,LA,LAKE CHARLES BULK TERMINAL,,,,,US
USW00053980,30.2125,-93.1514,2.4,LA,LAKE CHARLES CHENAULT AIR BASE,,,,,US
USW00013941,30.2103,-93.1433,5.2,LA,LAKE CHARLES CHENNAULT INTL AP,,,,KCWF,US
USW00012988,29.6931,-91.0986,1.5,LA,LAKE PALOURD BASE HELIPORT,,,,K7R3,US
VQL000LAMV3,18.318,-64.724,1.0,LA,LAMESHUR BAY ST JOHN,,,,,VI
USC00165287,31.0516,-93.2788,79.2,LA,LEESVILLE 6 SSW,,,,,US
USL000LOPL1,28.885,-90.024,40.5,LA,LOUISIANA OFFSHORE OIL PORT,,,,,US
USW00000460,30.1728,-90.9406,4.6,LA,LOUISIANA RGNL AP,,,,KREG,US
USC00165620,30.3644,-91.1672,6.4,LA,LSU BEN-HUR FARM,,,,,US
USL000LUML1,29.25,-90.66,0.0,LA,LUMCON MARINE CENTER  LA,,,,,US
USW00000307,29.2961,-88.8419,25.0,LA,MAIN PASS 140B,,,,KMIS,US
USC00165874,32.0712,-93.7588,98.1,LA,MANSFIELD 4 NW,,,,,US
USC00166244,32.6052,-93.2947,56.4,LA,MINDEN,,,,,US
USW00000268,32.6461,-93.2981,85.0,LA,MINDEN AP,,,,KMNE,US
USW00000459,28.5167,-88.2833,25.3,LA,MISS CANYON 474,,,,KIKT,US
USI0000KCYD,28.17,-89.22,1.0,LA,MISSISSIPPI CANYON,,,,KCYD,US
USW00000253,28.6431,-89.7939,224.0,LA,MISSISSIPPI CANYON 311 A,,,,KMDJ,US
USW00053961,32.8833,-92.1164,26.8,LA,MONROE 26 N,,,,,US
USC00166314,32.4935,-92.0319,21.3,LA,MONROE DELTA CC,,,,,US
USW00013942,32.5156,-92.03,22.3,LA,MONROE RGNL AP,,,,KMLU,US
USC00166394,29.6833,-91.1761,1.5,LA,MORGAN CITY,,,,,US
USC00166582,31.7722,-93.0955,39.6,LA,NATCHITOCHES,,,,,US
USC00166584,31.8142,-93.0856,43.0,LA,NATCHITOCHES #2,,,,,US
USW00053943,31.7358,-93.0992,36.9,LA,NATCHITOCHES RGNL AP,,,,KIER,US
USL000NWCL1,30.0167,-90.1167,4.0,LA,NEW CANAL,,,,,US
USW00053915,30.0292,-91.8844,4.9,LA,NEW IBERIA AP - ACADIANA RGNL,,,,KARA,US
USW00003934,30.0333,-91.8833,7.9,LA,NEW IBERIA NAAS,,,,,US
USW00012958,29.8167,-90.0167,1.5,LA,NEW ORLEANS ALVIN CALLENDER FL,,,,KNBG,US
USW00012916,29.9975,-90.2778,-0.9,LA,NEW ORLEANS AP,,,72231.0,KMSY,US
USW00012930,29.9167,-90.1303,6.1,LA,NEW ORLEANS AUDUBON,,,,,US
USW00053917,30.0494,-90.0289,0.9,LA,NEW ORLEANS LAKEFRONT AP,,,,KNEW,US
USW00093906,29.8272,-90.0267,4.0,LA,NEW ORLEANS NAS,,,,,US
USW00000483,29.9528,-90.0828,9.1,LA,NEW ORLEANS SUPERDOME HELIPORT,,,,K7N0,US
USW00053991,30.7503,-92.6883,32.6,LA,OAKDALE ALLEN PARISH AP,,,,KACP,US
USW00000454,28.1833,-88.4833,43.3,LA,OFFSHORE,,,,KH78,US
USW00012936,29.7167,-91.3333,2.7,LA,PATTERSON,,,,KPTN,US
USW00003949,31.3569,-93.1761,115.2,LA,PEASON RIDGE RANGE,,,72282.0,KAQV,US
USL000PSTL1,28.92,-89.4,3.0,LA,PILOT STATION EAST,,,,,US
USL000PILL1,29.178,-89.258,10.0,LA,PILOT TOWN,,,,,US
USW00000333,29.1169,-90.2,30.2,LA,PORT FORCHON HELIPORT,,,,KXPY,US
USI0000KAPS,30.0875,-90.5828,2.0,LA,PORT OF SOUTH LOUISIANA EXECUT,,,,KAPS,US
USC00167691,32.4936,-91.7486,27.1,LA,RAYVILLE,,,,,US
USC00167738,32.4219,-93.638,47.2,LA,RED RIVER RESEARCH STATION,,,,,US
USW00053958,32.5144,-92.5883,94.8,LA,RUSTON RGNL AP,,,,KRSN,US
USI0000K1L0,30.087,-90.5826,2.1,LA,SAINT JOHN THE BAPTIST PARISH,,,,K1L0,US
USW00000303,27.8331,-91.9831,30.2,LA,SALSA,,,,KGHB,US
USW00012968,29.5589,-91.525,0.9,LA,SALT PT,,,,KP92,US
USL000SHBL1,29.8667,-89.6667,5.0,LA,SHELL BEACH,,,,,US
USL000SHPF1,30.06,-84.29,0.0,LA,SHP - SHELL POINT  FL,,,,,US
USW00013957,32.4508,-93.8414,118.0,LA,SHREVEPORT,,,72248.0,KSHV,US
USW00093936,32.5397,-93.7492,60.0,LA,SHREVEPORT,,,,,US
USW00013944,32.5,-93.6667,50.6,LA,SHREVEPORT BARKSDALE AFB,,,,KBAD,US
USW00053905,32.5397,-93.7461,52.1,LA,SHREVEPORT DWTN AP,,,,KDTN,US
USC00168444,32.3795,-93.8019,57.3,LA,SHREVEPORT SOUTHERN HILLS,,,,,US
USW00053865,30.3436,-89.8225,7.6,LA,SLIDELL AP,,,72233.0,KASD,US
USC00168539,30.25,-89.7667,3.0,LA,SLIDELL WSFO,,,,,US
USI0000KMTK,28.6967,-89.3958,62.8,LA,SOUTH PASS 89E-B,,,,KMTK,US
USI0000KS58,28.5333,-90.5833,1.0,LA,SOUTH TIMBALIER,,,,KS58,US
USW00000359,30.1311,-93.3761,3.0,LA,SOUTHLAND FIELD AP,,,,KUXL,US
