parish,parish_full,lcd_station_id,lcd_station_name,station_latitude,station_longitude,datacoverage,distance_km
Jefferson Davis,Jefferson Davis Parish,WBAN:03937,"LAKE CHARLES REGIONAL AIRPORT, LA US",30.12551,-93.22771,1.0,47.91067177579261
Claiborne,Claiborne Parish,WBAN:13944,"SHREVEPORT BARKSDALE AFB, LA US",32.5,-93.66667,1.0,86.01655846021318
Richland,Richland Parish,WBAN:13942,"MONROE REGIONAL AIRPORT, LA US",32.51552,-92.02995,1.0,35.8048678122451
St. Martin,St. Martin Parish,WBAN:13976,"LAFAYETTE REGIONAL AIRPORT, LA US",30.19859,-91.98957,1.0,24.921633815683286
Grant,Grant Parish,WBAN:13935,"ALEXANDRIA ESLER FIELD, LA US",31.3963,-92.28278,1.0,40.42030858167821
Washington,Washington Parish,WBAN:53917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",30.04934,-90.02899,0.81,101.45200002851901
Lafayette,Lafayette Parish,WBAN:13976,"LAFAYETTE REGIONAL AIRPORT, LA US",30.19859,-91.98957,1.0,13.8442269301619
De Soto,De Soto Parish,WBAN:13957,"SHREVEPORT AIRPORT, LA US",32.4473,-93.8244,1.0,46.58819233485175
Winn,Winn Parish,WBAN:13935,"ALEXANDRIA ESLER FIELD, LA US",31.3963,-92.28278,1.0,78.0207659052282
West Baton Rouge,West Baton Rouge Parish,WBAN:13970,"BATON ROUGE METRO AIRPORT, LA US",30.53782,-91.14681,1.0,22.13005440304034
St. Mary,St. Mary Parish,WBAN:13976,"LAFAYETTE REGIONAL AIRPORT, LA US",30.19859,-91.98957,1.0,98.80277795934214
Calcasieu,Calcasieu Parish,WBAN:03937,"LAKE CHARLES REGIONAL AIRPORT, LA US",30.12551,-93.22771,1.0,23.777555507591554
Union,Union Parish,WBAN:13942,"MONROE REGIONAL AIRPORT, LA US",32.51552,-92.02995,1.0,54.73739210134259
Vernon,Vernon Parish,WBAN:03931,"FORT POLK ARMY AIR FIELD, LA US",31.05,-93.18333,0.87,8.07491040903307
Rapides,Rapides Parish,WBAN:13935,"ALEXANDRIA ESLER FIELD, LA US",31.3963,-92.28278,1.0,37.280402945482116
Sabine,Sabine Parish,WBAN:03931,"FORT POLK ARMY AIR FIELD, LA US",31.05,-93.18333,0.87,67.7795536865167
Morehouse,Morehouse Parish,WBAN:13942,"MONROE REGIONAL AIRPORT, LA US",32.51552,-92.02995,1.0,38.993434696651384
Madison,Madison Parish,WBAN:13942,"MONROE REGIONAL AIRPORT, LA US",32.51552,-92.02995,1.0,90.54394310891367
Ascension,Ascension Parish,WBAN:13970,"BATON ROUGE METRO AIRPORT, LA US",30.53782,-91.14681,1.0,51.48579324598518
