parish,parish_full,lcd_station_id,lcd_station_name,station_latitude,station_longitude,datacoverage,distance_km
Franklin,Franklin Parish,WBAN:13942,"MONROE REGIONAL AIRPORT, LA US",32.51552,-92.02995,1.0,61.75166493435042
Jefferson Davis,Jefferson Davis Parish,WBAN:00381,"JENNINGS AIRPORT, LA US",30.243,-92.673,1.0,17.416746127470077
Claiborne,Claiborne Parish,WBAN:00268,"MINDEN AIRPORT, LA US",32.646,-93.298,1.0,40.75398731995905
Richland,Richland Parish,WBAN:13942,"MONROE REGIONAL AIRPORT, LA US",32.51552,-92.02995,1.0,35.8048678122451
St. Martin,St. Martin Parish,WBAN:53960,"LAFAYETTE 13 SE, LA US",30.0918,-91.8731,1.0,24.68590071011631
Grant,Grant Parish,WBAN:93915,"ALEXANDRIA INTERNATIONAL AIRPORT, LA US",31.33464,-92.55849,1.0,33.70064076628785
Washington,Washington Parish,WBAN:00148,"GEORGE R CARR MEMORIAL AIR FIELD, LA US",30.817,-89.867,1.0,19.74436054222453
Lafayette,Lafayette Parish,WBAN:13976,"LAFAYETTE REGIONAL AIRPORT, LA US",30.19859,-91.98957,1.0,13.8442269301619
De Soto,De Soto Parish,WBAN:13957,"SHREVEPORT AIRPORT, LA US",32.4473,-93.8244,1.0,46.58819233485175
Winn,Winn Parish,WBAN:53943,"NATCHITOCHES REGIONAL AIRPORT, LA US",31.73583,-93.09917,1.0,60.96389105670586
West Baton Rouge,West Baton Rouge Parish,WBAN:13970,"BATON ROUGE METRO AIRPORT, LA US",30.53782,-91.14681,1.0,22.13005440304034
St. Mary,St. Mary Parish,WBAN:12936,"PATTERSON, LA US",29.71667,-91.33333,1.0,18.995493323369498
Calcasieu,Calcasieu Parish,WBAN:00359,"SOUTHLAND FIELD AIRPORT, LA US",30.131,-93.376,1.0,17.178827140471437
Union,Union Parish,WBAN:53961,"MONROE 26 N, LA US",32.8833,-92.1165,1.0,32.4410279224159
Vernon,Vernon Parish,WBAN:03931,"FORT POLK ARMY AIR FIELD, LA US",31.05,-93.18333,0.87,8.07491040903307
Rapides,Rapides Parish,WBAN:93915,"ALEXANDRIA INTERNATIONAL AIRPORT, LA US",31.33464,-92.55849,1.0,17.230346585133088
Sabine,Sabine Parish,WBAN:03949,"PEASON RIDGE RANGE, LA US",31.35694,-93.17603,1.0,38.789482202658014
Morehouse,Morehouse Parish,WBAN:53992,"BASTROP MOREHOUSE MEMORIAL AIRPORT, LA US",32.75611,-91.88056,1.0,5.697493971273906
Madison,Madison Parish,WBAN:03996,"TALLULAH VICKSBURG REGIONAL AIRPORT, LA US",32.34808,-91.02994,1.0,22.958986505223216
Ascension,Ascension Parish,WBAN:00460,"LOUISIANA REGIONAL AIRPORT, LA US",30.17272,-90.94061,1.0,6.793725170568846
