elevation,mindate,maxdate,latitude,name,datacoverage,id,elevationUnit,longitude
30.2,2011-10-01,2020-10-06,29.117,"PORT FORCHON HELIPORT, LA US",1.0,WBAN:00333,METERS,-90.2
94.8,2006-04-25,2025-08-25,32.51444,"RUSTON REGIONAL AIRPORT, LA US",1.0,WBAN:53958,METERS,-92.58833
1.0,2005-01-01,2024-06-19,29.559027,"SALT POINT, LA US",0.94,WBAN:12968,METERS,-91.525054
69.5,1948-07-01,2025-08-27,32.4473,"SHREVEPORT AIRPORT, LA US",1.0,WBAN:13957,METERS,-93.8244
50.6,1937-03-01,2025-08-25,32.5,"SHREVEPORT BARKSDALE AFB, LA US",1.0,WBAN:13944,METERS,-93.66667
52.3,2000-01-01,2025-08-27,32.53984,"SHREVEPORT DOWNTOWN AIRPORT, LA US",1.0,WBAN:53905,METERS,-93.74616
7.5,2005-01-01,2025-08-25,30.34355,"SLIDELL AIRPORT, LA US",1.0,WBAN:53865,METERS,-89.82237
3.0,2006-10-24,2025-08-25,30.131,"SOUTHLAND FIELD AIRPORT, LA US",1.0,WBAN:00359,METERS,-93.376
23.2,2013-05-02,2025-08-25,30.55838,"ST LANDRY PARISH AIRPORT AHART FIELD, LA US",1.0,WBAN:00466,METERS,-92.09938
3.4,2006-11-04,2008-12-31,30.13139,"SULPHUR SOUTHLAND FIELD AIRPORT, LA US",1.0,WBAN:53995,METERS,-93.37611
25.2,2005-01-01,2025-08-27,32.34808,"TALLULAH VICKSBURG REGIONAL AIRPORT, LA US",1.0,WBAN:03996,METERS,-91.02994
