GHCN_ID,LATITUDE,LONGITUDE,ELEVATION,STATE,NAME,GSN,(US)HCN_(US)CRN,WMO_ID,ICAO,ISO_CODE
USL000TESL1,29.6667,-91.2333,3.0,LA,TESORO MARINE TERMINAL,,,,,US
USW00000148,30.8169,-89.8669,36.6,LA,GEORGE R CARR MEMORIAL AIR FLD,,,,KBXA,US
USW00000184,29.9761,-92.0839,15.2,LA,ABBEVILLE CHRIS CRUSTA MEM AP,,,,KIYA,US
USW00000242,28.0831,-87.9831,224.0,LA,INDEPENDENCE OIL PLATFORM,,,,KIPN,US
USW00000243,27.2,-92.2,224.0,LA,MAGNOLIA OIL PLATFORM,,,,KGBK,US
USW00000244,28.6,-91.2,224.0,LA,SHIP SHOAL OIL PLATFORM,,,,KSPR,US
USW00000253,28.6431,-89.7939,224.0,LA,MISSISSIPPI CANYON 311 A,,,,KMDJ,US
USW00000254,28.4331,-92.8831,224.0,LA,E CAMERON 278 OIL PLATFORM,,,,KEHC,US
USW00000255,29.4831,-93.6331,224.0,LA,SABINE OIL PLATFORM,,,,KVBS,US
USW00000256,29.1169,-91.8669,224.0,LA,S MARSH 268 OIL PLATFORM,,,,KSCF,US
USW00000268,32.6461,-93.2981,85.0,LA,MINDEN AP,,,,KMNE,US
USW00000303,27.8331,-91.9831,30.2,LA,SALSA,,,,KGHB,US
USW00000304,28.6331,-91.4831,28.0,LA,EUGENE IS OIL PLATFORM,,,,KEIR,US
USW00000307,29.2961,-88.8419,25.0,LA,MAIN PASS 140B,,,,KMIS,US
USW00000312,27.2,-90.0331,50.3,LA,ATLANTIS OIL PLATFORM,,,,KATP,US
USW00000331,29.2481,-88.4411,115.2,LA,MAIN PASS 289 C OIL PLATFORM,,,,KVKY,US
USW00000332,28.27,-92.2639,90.2,LA,VERMILION 331 OIL PLATFORM,,,,KVQT,US
USW00000333,29.1169,-90.2,30.2,LA,PORT FORCHON HELIPORT,,,,KXPY,US
USW00000359,30.1311,-93.3761,3.0,LA,SOUTHLAND FIELD AP,,,,KUXL,US
USW00000381,30.2431,-92.673,7.0,LA,JENNINGS AP,,,,K3R7,US
USW00000423,30.4411,-93.4736,25.6,LA,DE QUINCY IND AIRPARK,,,,K5R8,US
USW00000432,29.25,-89.9661,2.1,LA,GRAND ISLE SAWRS,,,,KAXO,US
USW00000453,27.63,-90.45,58.2,LA,GREEN CANYON 338,,,,KGRY,US
USW00000454,28.1833,-88.4833,43.3,LA,OFFSHORE,,,,KH78,US
USW00000457,30.7183,-91.4786,12.2,LA,FALSE RIVER RGNL AP,,,,KHZR,US
USW00000459,28.5167,-88.2833,25.3,LA,MISS CANYON 474,,,,KIKT,US
USW00000460,30.1728,-90.9406,4.6,LA,LOUISIANA RGNL AP,,,,KREG,US
USW00000466,30.5583,-92.0994,23.2,LA,ST LANDRY PARISH AP AHART FLD,,,,KOPL,US
USW00000483,29.9528,-90.0828,9.1,LA,NEW ORLEANS SUPERDOME HELIPORT,,,,K7N0,US
USW00003908,30.5208,-90.4175,13.4,LA,HAMMOND MUNI AP,,,,KHDC,US
USW00003931,31.05,-93.1833,100.6,LA,FT POLK AAF,,,72239,KPOE,US
USW00003934,30.0333,-91.8833,7.9,LA,NEW IBERIA NAAS,,,,,US
USW00003937,30.1253,-93.2158,41.8,LA,LAKE CHARLES,,,72240,KLCH,US
USW00003939,31.0667,-92.5,57.9,LA,CLAIBORNE RANGE AF,,,74755,,US
USW00003949,31.3569,-93.1761,115.2,LA,PEASON RIDGE RANGE,,,72282,KAQV,US
USW00003976,30.8333,-93.3333,62.2,LA,DE RIDDER BEAUREGARD PARISH AP,,,,KDRI,US
USW00003996,32.3481,-91.03,25.3,LA,TALLULAH VICKSBURG RGNL AP,,,,KTVR,US
USW00012863,28.9667,-89.3833,4.0,LA,BURRWOOD WB,,,,,US
USW00012884,29.3331,-89.4075,0.9,LA,BOOTHVILLE ASOS,,,,KBVE,US
USW00012916,29.9975,-90.2778,-0.9,LA,NEW ORLEANS AP,,,72231,KMSY,US
USW00012927,29.5664,-90.6603,4.0,LA,HOUMA TERREBONNE AP,,,,KHUM,US
USW00012930,29.9167,-90.1303,6.1,LA,NEW ORLEANS AUDUBON,,,,,US
USW00012936,29.7167,-91.3333,2.7,LA,PATTERSON,,,,KPTN,US
USW00012958,29.8167,-90.0167,1.5,LA,NEW ORLEANS ALVIN CALLENDER FL,,,,KNBG,US
USW00012968,29.5589,-91.525,0.9,LA,SALT PT,,,,KP92,US
USW00012988,29.6931,-91.0986,1.5,LA,LAKE PALOURD BASE HELIPORT,,,,K7R3,US
USW00012989,29.7833,-93.3,0.9,LA,CAMERON HELIPORT,,,,KCVW,US
