parish,parish_full,ghcnh_station_id,ghcnh_station_name,station_latitude,station_longitude,station_elevation,distance_km
West Baton Rouge,West Baton Rouge Parish,USW00013970,BATON ROUGE METRO AP,30.5378,-91.1469,20.4,22.119711903756816
St. Mary,St. Mary Parish,USW00012968,SALT PT,29.5589,-91.525,0.9,11.162743599677984
Calcasieu,Calcasieu Parish,USL000BKTL1,LAKE CHARLES BULK TERMINAL,30.194,-93.296,3.0,12.136035004586308
Union,Union Parish,USW00053961,MONROE 26 N,32.8833,-92.1164,26.8,32.45145990460102
Vernon,Vernon Parish,USW00003931,FT POLK AAF,31.05,-93.1833,100.6,8.075066655385545
Rapides,Rapides Parish,USW00013934,ENGLAND AFB,31.3167,-92.55,27.1,14.771626064859387
Sabine,Sabine Parish,USW00003949,PEASON RIDGE RANGE,31.3569,-93.1761,115.2,38.7853358058195
Morehouse,Morehouse Parish,USW00053992,BASTROP MOREHOUSE MEM AP,32.7561,-91.8806,50.9,5.701983605454108
Madison,Madison Parish,USW00003996,TALLULAH VICKSBURG RGNL AP,32.3481,-91.03,25.3,22.951964033107902
Ascension,Ascension Parish,USW00000460,LOUISIANA RGNL AP,30.1728,-90.9406,4.6,6.786591266942868
